Bitter Wind March,,,,3/4 Measures,,,,,,,
,Am,A5,A5,A5,"Open 5th chords, very sparse",,,,,,
Verse 1A,A5,,C5,D5,piano holds 'A' bass octaves,,,Sun barely rising a-bove the hor-izon,,,
,A5,,G5,D5,throughout first verse,,,"Little one, little one, bitter wind blown","Little one, little one, bitter wind blown",,
,A5,,C5,D5,,,,"Flowers are withering, naked bark brittle oh,","Flowers are withering, naked bark brittle oh,",,
,A5,,G5,A5,,,,"Little one, little one, bitter wind blown","Little one, little one, bitter wind blown",,
Verse 1B,A5,A5,C5,D5,"(heavy piano bass octave,",,,"Good folk are gonna die, sun-god ain't shedding tears",,,
,A5,A5,G5,D5, violin comes in),,,"Little one, little one, bitter wind blown",,,
,A5,A5,C5,D5,,,And,"I just stare at the sky, digging the graves each year",,,
,A5,A5,G5,A5,,,,"Little one, little one, bitter wind blown",,,
Chorus,Dm,Dm,C,C,(bass/guitars come in gently),,,"Sun,",sailing a -,way,I don't know
,C,C,G,G,,,,Where...,I don’t know why…,,
,Dm,Dm,C,C,,,,"Sky,",darkening,"grey,",wishing there
,C,C,G,G,,,,weren’t so  man-y  good - byes...,,,
,G,G,Am,Am,Am,(drums begins on 'why'),,"little one, little one why...",,,
,Am,Am,Am,Am,Bm,,,little one  why...,,,
Modulation,Cm,,,,Heavy piano bass octaves all,,,,,,
,Cm/Ab,,,Bb,the way through march,,,,,,
,Cm,,,,,,,,,,
,Cm/Ab,,,Bb,,,,,,,
Verse 2A,Cm,,,,,,,Maybe if     we looked a while and   found a stone,,,
,Cm/Ab,,,,,,,"Little one, little one, bitter wind blown",,,
,Cm,,,,,,,Dragged it a hun-der-ed  miles and    got it home,,,
,Cm/Ab,,,,,,,"Little one, little one, bitter wind blown",,,
Verse 2B,Cm,,Eb/C,F/C,,,We could,"dig us a henge, raise those bluestones up high",,,
,Cm/Ab,,Bb/Ab,Ab,,,,"Little one, little one, bitter wind blown",,,
,Cm,,Eb/C,F/C,,,In,two hundred years we could look at the sky,,,
,Cm/Ab,,Bb/Ab,Ab,,,,"Little one, little one, bitter wind blown",,,
Verse 2C,Cm,,Eb/C,F/C,,,Our,"children would know when the winter was coming, oh",,,
,Cm/Ab,,Bb,Fm,,,,"Little one, little one, bitter wind blown",,,
,Cm,,Eb/C,F/C,,,,"Looking and laboring,    doing what must be done",,,
,Cm/Ab,,Bb,F,,,,"Little one, little one, bitter wind blown",,,
Chorus,Fm,,Eb,,,,,"Sun,",sailing a -,way,I don't know
,,,Bb,,,,,Where...,I don’t know why…,,
,F,,Eb,,,,,"Sky,",darkening,"grey,",wishing there
,,,Bb,,,,,weren’t so  man-y  good - byes...,,,
,Bb,,,,,,,,,,
Verse 3A,Cm,,,,(just piano and violin),,And,maybe some good folk are still going to die,,,
,Cm/Ab,,Bb/Ab,Ab,(just the downbeats),,,"Little one, little one, bitter wind blown",,,
,,,,,,,,,,,
,Cm,,Eb/C,F/c,,,Their,mothers shake helpless with rage and denial,,,
,Cm/Ab,,Bb,Fm,,,,"Little one, little one, bitter wind blown",,,
,,,,,,,,,,,
Verse 3B,C5,C5 (hi),Bb5/C,F/C,,,But,maybe it might be less deep of a sorrow,,,
,C,,C5/F,F,,,,"Little one, little one, bitter wind blown",,,
,,,,,,,,,,,
,C,C5 (hi),Eb/C,F/c,,,,Not quite so many graves dug up tomorrow,,,
,C,,C5/F,C,,,,"Little one, little one, bitter wind blown",,,