Bring the Light Reprise,,,,,,,
3/4 Measures,,,,,,,
In A minor (but all the chords are majors),,,,,,,
,,,,,,,
,A,,,Bring the,light,,
A,C,,,Bring the,li-ight,,
,D,,,Oh,bring the,light and,let it
,A,,,shine on,me,,
,,,,,,,
,A,,,Warm the,Earth,(Bring the,light)
A,C,,,Wake the,Se-ed,(Bring the,li-ight)
C,D,,,Oh,bring the,light and,let it
,A,,,shine on,me,,
,,,,,,,
,A,,,Fuel my,Eyes,(Bring the,light)
A,C,,,Banish,Li-es,(Bring the,li-ight)
C,D,,,Oh,bring the,light and,let it
,A,,,shine on,me,,
,,,,,,,
A,D,,,,Bring the,light and,let it
,E,,,shine...,Bring it,back just,one more
,D,,,time...,Bring the,light and,let it
,D,,,shine............,,,let it
,A,,,shine on,me...,,